City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Atuona,PF,78.89,broken clouds,-9.8,-139.0333,Villa Enata
4,Bandarbeyla,SO,84.47,broken clouds,9.4942,50.8122,JABIR HOTEL
18,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
42,Honiara,SB,77.5,moderate rain,-9.4333,159.95,Heritage Park Hotel
62,Stephenville,US,79.81,broken clouds,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
66,Coruripe,BR,82.71,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
73,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
80,Saint George,US,78.8,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
84,Talara,PE,79.56,clear sky,-4.5772,-81.2719,Hostal Oro Negro
88,Lhokseumawe,ID,80.26,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
91,Rikitea,PF,76.48,scattered clouds,-23.1203,-134.9692,People ThankYou
102,Cap Malheureux,MU,75.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
106,Bambanglipuro,ID,77.94,overcast clouds,-7.95,110.2833,Puri Brata
108,Butaritari,KI,80.87,light rain,3.0707,172.7902,Isles Sunset Lodge
109,Arraial Do Cabo,BR,85.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
123,Tual,ID,83.19,broken clouds,-5.6667,132.75,Grand Vilia Hotel
124,Bensonville,LR,83.12,overcast clouds,6.4461,-10.6125,Moinga
130,Saint-Joseph,RE,75.58,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
134,Teluk Nibung,ID,76.82,overcast clouds,3.001,99.8164,Hotel Assyifa
135,Sao Filipe,CV,75.65,clear sky,14.8961,-24.4956,Hotel Xaguate
138,Kavieng,PG,81.61,clear sky,-2.5744,150.7967,Nusa Island Retreat
141,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
144,Karratha,AU,82.02,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
146,Kloulklubed,PW,75.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
148,Puerto Escondido,MX,86.83,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
155,Celestun,MX,87.55,few clouds,20.8667,-90.4,Posada Lilia
156,Dingle,PH,76.59,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
