City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Broome,US,42.2506,-75.833,70.02,28,0,8.05,clear sky
1,Kuryk,KZ,43.2,51.65,68.29,46,6,18.66,clear sky
2,Atuona,PF,-9.8,-139.0333,78.89,77,65,13.65,broken clouds
3,Busselton,AU,-33.65,115.3333,57.2,84,9,2.64,clear sky
4,Bandarbeyla,SO,9.4942,50.8122,84.47,76,64,10.42,broken clouds
5,Pafos,CY,34.7667,32.4167,65.98,82,20,9.22,few clouds
6,Punta Arenas,CL,-53.15,-70.9167,48.11,87,78,5.28,broken clouds
7,Hermanus,ZA,-34.4187,19.2345,61.81,85,0,10.16,clear sky
8,New Norfolk,AU,-42.7826,147.0587,60.3,84,97,1.01,overcast clouds
9,Fortuna,US,40.5982,-124.1573,58.93,77,75,11.5,broken clouds
10,Narsaq,GL,60.9167,-46.05,46.62,69,52,3.31,broken clouds
11,Bluff,NZ,-46.6,168.3333,44.8,90,19,9.44,few clouds
12,Alice Springs,AU,-23.7,133.8833,56.75,67,40,4.61,scattered clouds
13,Fairbanks,US,64.8378,-147.7164,48.22,54,0,10.36,clear sky
14,Mushie,CD,-3.0167,16.9,74.53,92,91,2.68,moderate rain
15,Gat,IL,31.61,34.7642,66.81,100,2,2.17,clear sky
16,Cibitoke,BI,-2.8833,29.25,62.19,96,100,2.39,light rain
17,Kodiak,US,57.79,-152.4072,40.51,81,100,17.27,light rain
18,Vaini,TO,-21.2,-175.2,78.96,94,75,9.22,broken clouds
19,Ushuaia,AR,-54.8,-68.3,46.06,76,75,20.71,broken clouds
20,Carnarvon,AU,-24.8667,113.6333,66.27,72,0,8.05,clear sky
21,Tramore,IE,52.1624,-7.1524,54.63,85,75,2.3,moderate rain
22,Nakamura,JP,32.9833,132.9333,51.39,77,100,5.17,overcast clouds
23,Tiksi,RU,71.6872,128.8694,16.23,90,90,14.97,overcast clouds
24,Manassas,US,38.751,-77.4753,71.58,72,100,9.22,overcast clouds
25,Port Alfred,ZA,-33.5906,26.891,58.17,89,5,8.79,clear sky
26,Sholapur,IN,17.6833,75.9167,91.33,31,32,20.13,scattered clouds
27,Saldanha,ZA,-33.0117,17.9442,64.45,84,0,14.43,clear sky
28,Thompson,CA,55.7435,-97.8558,24.96,86,100,13.8,overcast clouds
29,Yellowknife,CA,62.456,-114.3525,39.72,56,0,11.5,clear sky
30,Marienburg,PL,54.0359,19.0266,51.87,76,100,5.88,overcast clouds
